"AUTHOR";"BORN-DIED";"TITLE";"DATE";"TECHNIQUE";"LOCATION";"URL";"FORM";"SCHOOL";"TIMEFRAME"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"Riderless Horse Races";"1817";"Oil on canvas, 45 x 60 cm";"Musée du Louvre, Paris";"https://www.wga.hu/detail/g/gericaul/1/103geric.jpg";"other";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"Grey Horse Called L'Aly";"1810-14";"Oil on canvas, 37 x 46 cm";"Private collection";"https://www.wga.hu/detail/g/gericaul/1/100geric.jpg";"other";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"Study of a Head";"-";"Oil on canvas";"The Hermitage, St. Petersburg";"https://www.wga.hu/detail/g/gericaul/1/104geric.jpg";"study";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"The Raft of the Medusa (detail)";"1818-19";"Oil on canvas";"Musée du Louvre, Paris";"https://www.wga.hu/detail/g/gericaul/1/105gerid.jpg";"mythological";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"The Raft of the Medusa (detail)";"1818-19";"Oil on canvas";"Musée du Louvre, Paris";"https://www.wga.hu/detail/g/gericaul/1/106geric.jpg";"other";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"Riderless Horse Races (detail)";"1817";"Oil on canvas";"Musée du Louvre, Paris";"https://www.wga.hu/detail/g/gericaul/1/103gerix.jpg";"other";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"A Carabinier with his Horse";"1814";"Oil on canvas, 65 x 54 cm";"Musée des Beaux-Arts, Rouen";"https://www.wga.hu/detail/g/gericaul/1/1031geri.jpg";"genre";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"Man with Delusions of Military Command";"1819-22";"Oil on canvas, 81 x 65 cm";"Private collection";"https://www.wga.hu/detail/g/gericaul/1/107geric.jpg";"other";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"The Epsom Derby";"1821";"Oil on canvas, 92 x 122 cm";"Musée du Louvre, Paris";"https://www.wga.hu/detail/g/gericaul/1/111geric.jpg";"other";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"Portrait of an Artist in His Studio";"c. 1820";"Oil on canvas, 147 x 114 cm";"Musée du Louvre, Paris";"https://www.wga.hu/detail/g/gericaul/1/107gerid.jpg";"portrait";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"A Madwoman and Compulsive Gambler";"c. 1822";"Oil on canvas, 77 x 65 cm";"Musée du Louvre, Paris";"https://www.wga.hu/detail/g/gericaul/1/108geric.jpg";"portrait";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"An Officer of the Chasseurs Commanding a Charge";"1812";"Oil on canvas, 349 x 266 cm";"Musée du Louvre, Paris";"https://www.wga.hu/detail/g/gericaul/1/101geric.jpg";"other";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"Study of Feet and Hands";"1818-19";"Oil on canvas, 52 x 64 cm";"Musée Fabre, Montpellier";"https://www.wga.hu/detail/g/gericaul/1/106gerid.jpg";"study";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"Heroic Landscape with Fishermen";"1818";"Oil on canvas, 250 x 218 cm";"Neue Pinakothek, Munich";"https://www.wga.hu/detail/g/gericaul/1/104gerig.jpg";"landscape";"French";"1801-1850"
"GÉRICAULT, Théodore";"(b. 1791, Rouen, d. 1824, Paris)";"Portrait of a Man";"1815-19";"Oil on canvas, 81 x 54 cm";"Musée du Louvre, Paris";"https://www.wga.hu/detail/g/gericaul/1/104gerid.jpg";"portrait";"French";"1801-1850"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Three pinnacle panels";"c. 1365";"Egg tempera on wood, 89 x 37 cm (each)";"National Gallery, London";"https://www.wga.hu/detail/g/giovanni/milano/panels/altar3.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Piet?";"1365";"Tempera on panel, 110 x 46 cm";"Galleria dell'Accademia, Florence";"https://www.wga.hu/detail/g/giovanni/milano/panels/pieta.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Expulsion of Joachim from the Temple (north wall, detail)";"1365";"Fresco";"Rinuccini Chapel, Santa Croce, Florence";"https://www.wga.hu/detail/g/giovanni/milano/rinuccin/1north1.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Birth of the Virgin (north wall, detail)";"1365";"Fresco";"Rinuccini Chapel, Santa Croce, Florence";"https://www.wga.hu/detail/g/giovanni/milano/rinuccin/1north4.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Three pinnacle panels (detail)";"c. 1365";"Egg tempera on wood";"National Gallery, London";"https://www.wga.hu/detail/g/giovanni/milano/panels/altar5.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Birth of the Virgin (north wall, detail)";"1365";"Fresco";"Rinuccini Chapel, Santa Croce, Florence";"https://www.wga.hu/detail/g/giovanni/milano/rinuccin/1north3.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"The Righteous of the Old Testament";"1365-69";"Tempera on panel with gold, 20 x 16 cm";"Private collection";"https://www.wga.hu/detail/g/giovanni/milano/panels/predella.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Ognissanti Polyptych: lateral panel";"before 1365";"Tempera on wood, 133 x 41 cm";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/g/giovanni/milano/panels/ognissa3.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"St Francis of Assisi";"c. 1360";"Wood, 113 x 39 cm";"Musée du Louvre, Paris";"https://www.wga.hu/detail/g/giovanni/milano/panels/francis.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"South wall";"1365";"Fresco";"Rinuccini Chapel, Santa Croce, Florence";"https://www.wga.hu/detail/g/giovanni/milano/rinuccin/2south.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Christ and the Virgin Enthroned with Six Saints (detail)";"1350-55";"Egg tempera on wood";"National Gallery, London";"https://www.wga.hu/detail/g/giovanni/milano/panels/christv2.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Eleven Saints";"c. 1365";"Tempera on wood, 159 x 71 cm";"Galleria Sabauda, Turin";"https://www.wga.hu/detail/g/giovanni/milano/panels/altar1.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Meeting of Joachim and Anne at the Golden Gate (north wall, detail)";"1365";"Fresco";"Rinuccini Chapel, Santa Croce, Florence";"https://www.wga.hu/detail/g/giovanni/milano/rinuccin/1north5.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Ognissanti Polyptych: lateral panel";"before 1365";"Tempera on wood, 133 x 41 cm";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/g/giovanni/milano/panels/ognissa4.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Raising of Lazarus (south wall, detail)";"1365";"Fresco";"Rinuccini Chapel, Santa Croce, Florence";"https://www.wga.hu/detail/g/giovanni/milano/rinuccin/2south2.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Ognissanti Polyptych: lateral panel";"before 1365";"Tempera on wood, 133 x 41 cm";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/g/giovanni/milano/panels/ognissa2.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Three pinnacle panels (detail)";"c. 1365";"Egg tempera on wood";"National Gallery, London";"https://www.wga.hu/detail/g/giovanni/milano/panels/altar4.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Resurrection";"c. 1365";"Tempera on wood, 26 x 64 cm";"Private collection";"https://www.wga.hu/detail/g/giovanni/milano/panels/altar6.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Incredulity of St Thomas";"c. 1365";"Tempera on wood, 26 x 64 cm";"Alana Collection, Newark, Delaware";"https://www.wga.hu/detail/g/giovanni/milano/panels/altar7.jpg";"religious";"Italian";"1301-1350"
"GIOVANNI DA MILANO";"(active 1350-69, Milano, Firenze)";"Expulsion of Joachim from the Temple (north wall, detail)";"1365";"Fresco";"Rinuccini Chapel, Santa Croce, Florence";"https://www.wga.hu/detail/g/giovanni/milano/rinuccin/1north2.jpg";"religious";"Italian";"1301-1350"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"Monforte Altarpiece (detail)";"c. 1470";"Oil on wood";"Staatliche Museen, Berlin";"https://www.wga.hu/detail/g/goes/monforte/monfort2.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"Portinari Triptych (closed)";"1476-79";"Oil on wood";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/g/goes/portinar/4portina.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"Sts Margaret and Mary Magdalene with Maria Portinari (detail)";"1476-79";"Oil on wood";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/g/goes/portinar/right4.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"Adoration of the Shepherds (detail)";"c. 1480";"Wood";"Staatliche Museen, Berlin";"https://www.wga.hu/detail/g/goes/1/adorati3.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"Sts Margaret and Mary Magdalene with Maria Portinari";"1476-79";"Oil on wood, 253 x 141 cm";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/g/goes/portinar/right.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"The Adoration of the Shepherds (detail)";"1476-79";"Oil on wood";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/g/goes/portinar/centre07.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"The Adoration of the Shepherds (detail)";"1476-79";"Oil on wood";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/g/goes/portinar/centre06.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"Calvary Triptych";"1465-68";"Oil on wood, 250 x 216 cm";"Cathedral of St Bavo, Ghent";"https://www.wga.hu/detail/g/goes/calvary/calvar.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"Calvary Triptych (detail)";"1465-68";"Oil on wood";"Cathedral of St Bavo, Ghent";"https://www.wga.hu/detail/g/goes/calvary/calvar21.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"The Adoration of the Shepherds (detail)";"1476-79";"Oil on wood";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/g/goes/portinar/centre10.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"Monforte Altarpiece (detail)";"c. 1470";"Oil on wood";"Staatliche Museen, Berlin";"https://www.wga.hu/detail/g/goes/monforte/monfort4.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"Sts Anthony and Thomas with Tommaso Portinari (detail)";"1476-79";"Oil on wood";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/g/goes/portinar/left2.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"The Death of the Virgin (detail)";"c. 1480";"Oil on wood";"Groeninge Museum, Bruges";"https://www.wga.hu/detail/g/goes/deathvir/death_v5.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"The Death of the Virgin";"c. 1480";"Oil on wood, 147,8 x 122,5 cm";"Groeninge Museum, Bruges";"https://www.wga.hu/detail/g/goes/deathvir/death_v.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"The Adoration of the Shepherds";"1476-79";"Oil on wood, 253 x 304 cm";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/g/goes/portinar/centre.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"The Fall";"1467-68";"Oil on oak, 33,8 x 23 cm";"Kunsthistorisches Museum, Vienna";"https://www.wga.hu/detail/g/goes/1/diptych1.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"The Death of the Virgin (detail)";"c. 1480";"Oil on wood";"Groeninge Museum, Bruges";"https://www.wga.hu/detail/g/goes/deathvir/death_v3.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"Sts Margaret and Mary Magdalene with Maria Portinari (detail)";"1476-79";"Oil on wood";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/g/goes/portinar/right2.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"The Adoration of the Shepherds (detail)";"1476-79";"Oil on wood";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/g/goes/portinar/centre11.jpg";"religious";"Flemish";"1451-1500"
"GOES, Hugo van der";"(b. ca. 1440, Ghent, d. 1482, Bruxelles)";"The Adoration of the Shepherds (detail)";"1476-79";"Oil on wood";"Galleria degli Uffizi, Florence";"https://www.wga.hu/detail/g/goes/portinar/centre03.jpg";"religious";"Flemish";"1451-1500"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"The Malvagna Altarpiece (centre panel, detail)";"1513-15";"Oil on panel";"Galleria Regionale della Sicilia, Palermo";"https://www.wga.hu/detail/g/gossart/01altar/3malvag5.jpg";"religious";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"Virgin and Child (detail)";"1527";"Oil on oak panel";"Kunsthistorisches Museum, Vienna";"https://www.wga.hu/detail/g/gossart/02virgin/08virgin.jpg";"religious";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"The Malvagna Triptych";"1513-15";"Oil on panel, 46 x 35 cm (centre panel), 45 x 18 cm (each wing)";"Galleria Regionale della Sicilia, Palermo";"https://www.wga.hu/detail/g/gossart/01altar/3malvag1.jpg";"religious";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"The Adoration of the Kings (detail)";"1500-15";"Oil on wood";"National Gallery, London";"https://www.wga.hu/detail/g/gossart/04religi/1adorat4.jpg";"religious";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"St Luke Drawing the Virgin (detail)";"1520-22";"Oil on oak panel";"Kunsthistorisches Museum, Vienna";"https://www.wga.hu/detail/g/gossart/03stluke/2luke3.jpg";"religious";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"The Three Children of Christian II of Denmark";"1526";"Oil on oak panel, 34 x 46 cm";"Royal Collection, Windsor";"https://www.wga.hu/detail/g/gossart/06portra/13portra.jpg";"portrait";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"Young Girl with Astronomic Instrument";"c. 1530";"Oil on oak panel, 38 x 29 cm";"National Gallery, London";"https://www.wga.hu/detail/g/gossart/06portra/21portra.jpg";"portrait";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"Portrait of a Man";"1525-30";"Oil on oak panel, 34 x 24 cm";"Musées Royaux des Beaux-Arts, Brussels";"https://www.wga.hu/detail/g/gossart/06portra/14portra.jpg";"portrait";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"Portrait of a Man";"1520-25";"Oil on oak panel, 37 x 28 cm";"Kunsthistorisches Museum, Vienna";"https://www.wga.hu/detail/g/gossart/06portra/05portra.jpg";"portrait";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"Mary Magdalen";"c. 1530";"Oil on oak panel, 50 x 39 cm";"Museum of Fine Arts, Boston";"https://www.wga.hu/detail/g/gossart/06portra/19portra.jpg";"portrait";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"Virgin and Child (detail)";"1525-30";"Oil on oak panel";"Staatliche Museen, Berlin";"https://www.wga.hu/detail/g/gossart/02virgin/13virgin.jpg";"religious";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"Virgin and Child";"c. 1522";"Oil on oak panel, 39 x 30 cm";"Landesmuseum, Münster";"https://www.wga.hu/detail/g/gossart/02virgin/05virgin.jpg";"religious";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"Carondelet Diptych (left wing)";"1517";"Oil on panel, 43 x 27 cm";"Musée du Louvre, Paris";"https://www.wga.hu/detail/g/gossart/01altar/4carond2.jpg";"religious";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"Neptune and Amphitrite (detail)";"1516";"Oil on wood";"Staatliche Museen, Berlin";"https://www.wga.hu/detail/g/gossart/05mythol/1neptun3.jpg";"mythological";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"Neptune and Amphitrite";"1516";"Oil on wood, 188 x 124 cm";"Staatliche Museen, Berlin";"https://www.wga.hu/detail/g/gossart/05mythol/1neptun1.jpg";"mythological";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"The Malvagna Altarpiece (exterior wings)";"1513-15";"Oil on panel, 45 x 18 cm (each wing)";"Galleria Regionale della Sicilia, Palermo";"https://www.wga.hu/detail/g/gossart/01altar/3malvag4.jpg";"religious";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"Venus and Cupid (details)";"1521";"Oil on oak panel";"Musées Royaux des Beaux-Arts, Brussels";"https://www.wga.hu/detail/g/gossart/05mythol/4venus2.jpg";"mythological";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"The Malvagna Altarpiece (centre panel)";"1513-15";"Oil on panel, 46 x 35 cm";"Galleria Regionale della Sicilia, Palermo";"https://www.wga.hu/detail/g/gossart/01altar/3malvag2.jpg";"religious";"Flemish";"1501-1550"
"GOSSART, Jan";"(b. ca. 1478, Maubeuge, d. 1532, Middelburg)";"Portrait of a Monk";"1526";"Oil on oak panel, 37 x 25 cm";"Musée du Louvre, Paris";"https://www.wga.hu/detail/g/gossart/06portra/12portra.jpg";"portrait";"Flemish";"1501-1550"
